Feature,Comparison,State1,State2,N_Total,N_Positive,N_Negative,AUC,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy
Amplitude,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Amplitude,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Amplitude,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.19270833333333331,0.0030820973013031775,0.08333333333333333,1.0,1.0,0.5217391304347826,0.5416666666666666
AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.27083333333333337,3.212050159084338,0.16666666666666666,1.0,1.0,0.5454545454545454,0.5833333333333334
S_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
S_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
S_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.984375,0.6062450383189064,0.9583333333333334,0.9166666666666666,0.92,0.9565217391304348,0.9375
D_AUC,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
D_AUC,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
D_AUC,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.15104166666666666,inf,0.0,1.0,0.0,0.5,0.5
AUC_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.024305555555555552,inf,0.0,1.0,0.0,0.5,0.5
AUC_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.9461805555555556,0.2519592057007268,0.8333333333333334,1.0,1.0,0.8571428571428571,0.9166666666666666
AUC_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,1.0,0.24476344744594963,1.0,1.0,1.0,1.0,1.0
Start_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Start_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Start_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.005208333333333333,inf,0.0,1.0,0.0,0.5,0.5
End_Datum_Area,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
End_Datum_Area,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
End_Datum_Area,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.2673611111111111,inf,0.0,1.0,0.0,0.5,0.5
Datum_Area_Ratio,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.5972222222222222,4.117006934517254,0.25,1.0,1.0,0.5714285714285714,0.625
Datum_Area_Ratio,Normal vs Congestion,Normal,Congestion,48,24,24,0.2586805555555556,inf,0.0,1.0,0.0,0.5,0.5
Datum_Area_Ratio,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.22395833333333331,3.4452018294042563,1.0,0.04166666666666663,0.5106382978723404,1.0,0.5208333333333334
Max_Start_Datum_Diff,Normal vs Ischaemia,Normal,Ischaemia,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Max_Start_Datum_Diff,Normal vs Congestion,Normal,Congestion,48,24,24,0.0,inf,0.0,1.0,0.0,0.5,0.5
Max_Start_Datum_Diff,Ischaemia vs Congestion,Ischaemia,Congestion,48,24,24,0.19270833333333331,0.0030820973013031775,0.08333333333333333,1.0,1.0,0.5217391304347826,0.5416666666666666
