Feature,Depth,Comparison,N_Normal,N_Disease,AUC,CI_Lower,CI_Upper,Optimal_Threshold,Sensitivity,Specificity,PPV,NPV,Accuracy,F1_Score,LR_Positive,LR_Negative,TP,TN,FP,FN
IR_Fall_Time,9,Ischaemia,32,32,0.9355,,,0.7895,0.9375,0.9688,0.9677,0.9394,0.9531,0.9524,30.0000,0.0645,30,31,1,2
IR_Upslope,9,Ischaemia,32,32,0.9131,,,11.7521,0.8125,0.9688,0.9630,0.8378,0.8906,0.8814,26.0000,0.1935,26,31,1,6
IR_SDPPG_c_a,9,Ischaemia,32,32,0.9121,,,0.4663,0.8125,0.9688,0.9630,0.8378,0.8906,0.8814,26.0000,0.1935,26,31,1,6
IR_Downslope_Length,9,Ischaemia,32,32,0.9082,,,1.3237,0.9062,0.9375,0.9355,0.9091,0.9219,0.9206,14.5000,0.1000,29,30,2,3
IR_Downslope_Length_Ratio,9,Ischaemia,32,32,0.9043,,,0.5702,0.8750,0.9375,0.9333,0.8824,0.9062,0.9032,14.0000,0.1333,28,30,2,4
IR_SDPPG_e_a,9,Ischaemia,32,32,0.8887,,,0.3899,0.8438,0.8750,0.8710,0.8485,0.8594,0.8571,6.7500,0.1786,27,28,4,5
IR_Length_Height_Ratio,9,Ischaemia,32,32,0.8760,,,2.3661,0.7500,0.9688,0.9600,0.7949,0.8594,0.8421,24.0000,0.2581,24,31,1,8
IR_IPAR,9,Ischaemia,32,32,0.8467,,,0.6728,0.7812,0.9062,0.8929,0.8056,0.8438,0.8333,8.3333,0.2414,25,29,3,7
IR_Datum_Area_Ratio,9,Ischaemia,32,32,0.6641,,,6.2619,0.3438,0.9688,0.9167,0.5962,0.6562,0.5000,11.0000,0.6774,11,31,1,21
IR_Width_Ratio,9,Ischaemia,32,32,0.6382,,,1.4980,0.7188,0.5312,0.6053,0.6538,0.6250,0.6571,1.5333,0.5294,23,17,15,9
IR_Skewness,9,Ischaemia,32,32,0.6230,,,-0.1117,0.5938,0.6875,0.6552,0.6286,0.6406,0.6230,1.9000,0.5909,19,22,10,13
IR_Systolic_Width,9,Ischaemia,32,32,0.5879,,,0.5685,0.2812,0.9688,0.9000,0.5741,0.6250,0.4286,9.0000,0.7419,9,31,1,23
IR_Pulse_Width,9,Ischaemia,32,32,0.5835,,,0.9475,0.2812,0.9688,0.9000,0.5741,0.6250,0.4286,9.0000,0.7419,9,31,1,23
IR_Diastolic_Width,9,Ischaemia,32,32,0.5776,,,0.3795,0.2500,0.9688,0.8889,0.5636,0.6094,0.3902,8.0000,0.7742,8,31,1,24
IR_Kurtosis,9,Ischaemia,32,32,0.5508,,,-1.4718,0.9375,0.2812,0.5660,0.8182,0.6094,0.7059,1.3043,0.2222,30,9,23,2
IR_SDPPG_b_a,9,Ischaemia,32,32,0.5215,,,-0.9602,0.3438,0.8438,0.6875,0.5625,0.5938,0.4583,2.2000,0.7778,11,27,5,21
IR_Delta_T,9,Ischaemia,32,32,0.4941,,,inf,0.0000,1.0000,0.0000,0.5000,0.5000,0.0000,,1.0000,0,32,0,32
IR_Onset_End_Slope,9,Ischaemia,32,32,0.4785,,,0.0578,0.1250,0.9688,0.8000,0.5254,0.5469,0.2162,4.0000,0.9032,4,31,1,28
IR_PW50,9,Ischaemia,32,32,0.3677,,,0.5220,0.1875,0.9375,0.7500,0.5357,0.5625,0.3000,3.0000,0.8667,6,30,2,26
IR_Upslope_Length,9,Ischaemia,32,32,0.3350,,,1.0140,0.6250,0.4062,0.5128,0.5200,0.5156,0.5634,1.0526,0.9231,20,13,19,12
